,电影名称,电影链接,电影评分,评分人数,导演,主演,上映年份,国家,类型
17,无间道,https://movie.douban.com/subject/1307914/,9.3,1401610,导演: 刘伟强 / 麦兆辉,主演: 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,2002,中国香港,剧情 犯罪 惊悚
18,控方证人,https://movie.douban.com/subject/1296141/,9.6,588660,导演: 比利·怀尔德 Billy Wilder,主演: 泰隆·鲍华 Tyrone Power / 玛琳·...,1957,美国,剧情 犯罪 悬疑
19,大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,9.2,1566783,导演: 刘镇伟 Jeffrey Lau,主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装
20,熔炉,https://movie.douban.com/subject/5912992/,9.4,952041,导演: 黄东赫 Dong-hyuk Hwang,主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,2011,韩国,剧情
21,教父,https://movie.douban.com/subject/1291841/,9.3,993186,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,主演: 马龙·白兰度 M...,1972,美国,剧情 犯罪
22,触不可及,https://movie.douban.com/subject/6786002/,9.3,1149844,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,主...,2011,法国,剧情 喜剧
23,当幸福来敲门,https://movie.douban.com/subject/1849031/,9.2,1552768,导演: 加布里尔·穆奇诺 Gabriele Muccino,主演: 威尔·史密斯 Will Smith ...,2006,美国,剧情 传记 家庭
24,寻梦环游记,https://movie.douban.com/subject/20495023/,9.1,1734652,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,主演: ...,2017,美国,喜剧 动画 奇幻 音乐
25,末代皇帝,https://movie.douban.com/subject/1293172/,9.3,912770,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci,主演: 尊龙 John Lone / 陈...,1987,英国 意大利 中国大陆 法国,剧情 传记 历史
26,龙猫,https://movie.douban.com/subject/1291560/,9.2,1294132,导演: 宫崎骏 Hayao Miyazaki,主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...,1988,日本,动画 奇幻 冒险
27,怦然心动,https://movie.douban.com/subject/3319755/,9.1,1875068,导演: 罗伯·莱纳 Rob Reiner,主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,2010,美国,剧情 喜剧 爱情
28,活着,https://movie.douban.com/subject/1292365/,9.3,870318,导演: 张艺谋 Yimou Zhang,主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,1994,中国大陆 中国香港,剧情 历史 家庭
29,哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,9.2,1230160,导演: Chris Columbus,主演: Daniel Radcliffe / Emma Watson / Rupert Grint,2001,美国 英国,奇幻 冒险
30,蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,9.2,1088134,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 克里斯蒂安·贝尔 Christ...,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚
31,指环王3：王者无敌,https://movie.douban.com/subject/1291552/,9.3,823866,导演: 彼得·杰克逊 Peter Jackson,主演: 伊利亚·伍德 Elijah Wood / 西恩...,2003,美国 新西兰,剧情 动作 奇幻 冒险
32,我不是药神,https://movie.douban.com/subject/26752088/,9.0,2152302,导演: 文牧野 Muye Wen,主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,2018,中国大陆,剧情 喜剧
33,乱世佳人,https://movie.douban.com/subject/1300267/,9.3,708930,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,主演: 费...,1939,美国,剧情 历史 爱情 战争
34,飞屋环游记,https://movie.douban.com/subject/2129039/,9.1,1359325,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,主演: 爱德...,2009,美国,剧情 喜剧 动画 冒险
35,素媛,https://movie.douban.com/subject/21937452/,9.3,704437,导演: 李濬益 Jun-ik Lee,主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,2013,韩国,剧情
36,十二怒汉,https://movie.douban.com/subject/1293182/,9.4,506927,导演: Sidney Lumet,主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,1957,美国,剧情
37,哈尔的移动城堡,https://movie.douban.com/subject/1308807/,9.1,1054229,导演: 宫崎骏 Hayao Miyazaki,主演: 倍赏千惠子 Chieko Baishô / 木村拓...,2004,日本,动画 奇幻 冒险
38,让子弹飞,https://movie.douban.com/subject/3742360/,9.0,1740706,导演: 姜文 Wen Jiang,主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,2010,中国大陆 中国香港,剧情 喜剧 动作 西部
39,何以为家,https://movie.douban.com/subject/30170448/,9.1,1069086,导演: 娜丁·拉巴基 Nadine Labaki,主演: 扎因·拉费阿 Zain al-Rafeea / ...,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情
40,摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,9.0,1602006,导演: 涅提·蒂瓦里 Nitesh Tiwari,主演: 阿米尔·汗 Aamir Khan / 法缇玛...,2016,印度,剧情 传记 运动 家庭
41,猫鼠游戏,https://movie.douban.com/subject/1305487/,9.1,1060533,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,主演: 莱昂纳多·迪卡普里奥 L...,2002,美国 加拿大,传记 犯罪 剧情
42,天空之城,https://movie.douban.com/subject/1291583/,9.2,900909,导演: 宫崎骏 Hayao Miyazaki,主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,1986,日本,动画 奇幻 冒险
43,鬼子来了,https://movie.douban.com/subject/1291858/,9.3,642739,导演: 姜文 Wen Jiang,主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,2000,中国大陆,剧情 喜剧
